school,join_id,cemetery_name,state,findagravelink,burial_site_finding,burial_site_on_campus
Crow Creek Agency Boarding School,372,"Crow Creek Cemetery: Fort Thompson, SD",SD,https://www.findagrave.com/cemetery/96902/crow-creek-cemetery,DOI,TRUE
Pierre Indian School,379,Riverside Cemetery,SD,https://www.findagrave.com/memorial/198103619/joseph-running_rattle,POST,FALSE
Red Cloud Indian School*,381,Red Cloud Cemetery,SD,https://www.findagrave.com/cemetery/1970722/red-cloud-cemetery,DOI,TRUE
Red Cloud Indian School*,381,"Holy Rosary Catholic/New Red Cloud Cemetery: Pine Ridge, SD",SD,https://www.findagrave.com/cemetery/2726787/holy-rosary-catholic-mission-cemetery,DOI,TRUE
Red Cloud Indian School*,381,"Red Cloud Unmarked Burial Site: Pine Ridge, SD",SD,https://www.findagrave.com/cemetery/2777900/mahpiya-luta--(red-cloud),DOI,TRUE
Immaculate Conception Mission School,388,Stephan Mission Cemetery,SD,https://www.findagrave.com/cemetery/97149/immaculate-conception-mission-cemetery,POST,TRUE
Brainerd Mission School,393,Brainerd Mission Cemetery,TN,https://www.findagrave.com/cemetery/9619/brainerd-mission-cemetery,DOI,TRUE
Hampton Institute,402,Hampton University Cemetery,VA,https://www.findagrave.com/cemetery/1726604/hampton-university-cemetery,DOI,TRUE
St. Mary's Mission School,404,Saint Marys Mission Catholic Cemetery,WA,https://www.findagrave.com/cemetery/2196051/saint-marys-mission-catholic-cemetery,POST,TRUE
Tulalip Indian Industrial School,406,Mission Beach Cemetery,WA,https://www.findagrave.com/cemetery/2178610/mission-beach-cemetery,POST,FALSE
St. George Indian Residential School,410,Gethsemane Cemetery,WA,https://www.findagrave.com/cemetery/76819/gethsemane-cemetery,DOI,TRUE
St. George Indian Residential School,410,"Tacoma Cemetery: Tacoma, WA",WA,https://www.findagrave.com/cemetery/77080/tacoma-cemetery,DOI,FALSE
Cushman Indian School,413,"Tacoma Cemetery: Tacoma, WA",,https://www.findagrave.com/cemetery/77080/tacoma-cemetery,POST,FALSE
Cushman Indian School,413,Old Puyallup Indian Cemetery,WA,https://www.findagrave.com/cemetery/2230674/old-puyallup-indian-cemetery,POST,FALSE
Cushman Indian School,413,Cushman Indian School Cemetery,WA,,DOI,TRUE
Hayward Boarding School,420,Greenwood Cemetery,WI,https://www.findagrave.com/cemetery/88054/greenwood-cemetery,POST,FALSE
Lac du Flambeau Boarding School,421,Presbyterian Church Cemetery,WI,https://www.findagrave.com/cemetery/2545031/presbyterian-church-cemetery,POST,FALSE
St. Joseph Industrial School,425,Saint Michaels Catholic Church Cemetery,WI,https://www.findagrave.com/cemetery/89123/saint-michaels-catholic-church-cemetery,POST,FALSE
Wittenberg Indian School,427,Native American Church Cemetery,WI,https://www.findagrave.com/cemetery/2184871/native-american-church-cemetery,POST,FALSE
St. Boniface Indian School,79,Saint Boniface Indian School Cemetery,WY,https://www.findagrave.com/cemetery/2250927/saint-boniface-indian-school-cemetery,DOI,TRUE
St. Stephen's Mission Industrial School,433,Arapahoe Catholic Cemetery,WY,https://www.findagrave.com/cemetery/83982/arapahoe-catholic-cemetery,POST,TRUE
Wind River Boarding School,434,Sacajawea Cemetery,WY,https://www.findagrave.com/cemetery/2217275/sacajawea-cemetery,POST,FALSE
Fort Totten Indian Industrial School,255,Saint Michaels Catholic Church Cemetery,ND,https://www.findagrave.com/cemetery/1979686/saint-michaels-catholic-church-cemetery,POST,FALSE
Fort Simcoe Indian Boarding School,414,Methodist Cemetery,WA,https://www.findagrave.com/cemetery/2236384/methodist-cemetery,POST,FALSE
Lincoln Institution,358,Woodlands Cemetery,PA,https://www.findagrave.com/cemetery/46665/woodlands-cemetery,POST,FALSE
Lincoln Institution,358,Fernwood Cemetery,PA,https://www.findagrave.com/cemetery/153990/fernwood-cemetery-and-mausoleum,POST,FALSE
Carlisle Indian Industrial School,360,"Schellsburg Cemetery, Schellsburg, Pennsylvania",PA,https://www.findagrave.com/cemetery/1964953/schellsburg-cemetery,POST,FALSE
Carlisle Indian Industrial School,360,"Seaside Cemetery, Ocean City, New Jersey",NJ,https://www.findagrave.com/cemetery/100249/seaside-cemetery,POST,FALSE
Carlisle Indian Industrial School,360,Byberry Meeting Quaker Burial Grounds,PA,https://www.findagrave.com/cemetery/44491/byberry-friends-burial-ground,POST,FALSE
Carlisle Indian Industrial School,360,Brick Church Graveyard/Church Hill Cemetery,PA,https://www.findagrave.com/cemetery/294466/church-hill-cemetery,POST,FALSE
